,item_id,item_name,category,price,order_details_id,order_id,order_date,order_time
0,101,Hamburger,American,12.95,11,6,1/1/23,12:29:36 PM
1,101,Hamburger,American,12.95,26,11,1/1/23,1:02:59 PM
2,101,Hamburger,American,12.95,43,17,1/1/23,1:53:00 PM
3,101,Hamburger,American,12.95,63,24,1/1/23,2:23:01 PM
4,101,Hamburger,American,12.95,71,27,1/1/23,3:11:17 PM
5,101,Hamburger,American,12.95,83,33,1/1/23,3:54:08 PM
6,101,Hamburger,American,12.95,90,36,1/1/23,4:54:09 PM
7,101,Hamburger,American,12.95,123,51,1/1/23,6:48:28 PM
8,101,Hamburger,American,12.95,145,61,1/1/23,8:08:43 PM
9,101,Hamburger,American,12.95,147,62,1/1/23,8:50:16 PM
10,101,Hamburger,American,12.95,161,69,1/1/23,10:12:13 PM
11,101,Hamburger,American,12.95,178,77,1/2/23,12:22:46 PM
12,101,Hamburger,American,12.95,212,91,1/2/23,3:14:43 PM
13,101,Hamburger,American,12.95,215,92,1/2/23,3:17:02 PM
14,101,Hamburger,American,12.95,239,102,1/2/23,5:54:04 PM
15,101,Hamburger,American,12.95,242,104,1/2/23,6:02:12 PM
16,101,Hamburger,American,12.95,288,121,1/2/23,7:38:48 PM
17,101,Hamburger,American,12.95,294,124,1/2/23,8:12:34 PM
18,101,Hamburger,American,12.95,313,133,1/2/23,10:00:17 PM
19,101,Hamburger,American,12.95,342,144,1/3/23,1:44:28 PM
20,101,Hamburger,American,12.95,396,167,1/3/23,5:00:49 PM
21,101,Hamburger,American,12.95,447,190,1/3/23,8:14:23 PM
22,101,Hamburger,American,12.95,458,194,1/3/23,9:21:24 PM
23,101,Hamburger,American,12.95,459,195,1/3/23,9:25:20 PM
24,101,Hamburger,American,12.95,488,208,1/4/23,12:12:05 PM
25,101,Hamburger,American,12.95,489,208,1/4/23,12:12:05 PM
26,101,Hamburger,American,12.95,503,216,1/4/23,2:31:56 PM
27,101,Hamburger,American,12.95,509,219,1/4/23,2:42:01 PM
28,101,Hamburger,American,12.95,527,225,1/4/23,4:41:48 PM
29,101,Hamburger,American,12.95,528,225,1/4/23,4:41:48 PM
30,101,Hamburger,American,12.95,531,227,1/4/23,5:24:39 PM
31,101,Hamburger,American,12.95,541,232,1/4/23,6:21:59 PM
32,101,Hamburger,American,12.95,564,245,1/4/23,8:28:41 PM
33,101,Hamburger,American,12.95,573,249,1/4/23,9:06:16 PM
34,101,Hamburger,American,12.95,579,254,1/4/23,10:22:13 PM
35,101,Hamburger,American,12.95,660,291,1/5/23,5:44:39 PM
36,101,Hamburger,American,12.95,667,294,1/5/23,6:16:35 PM
37,101,Hamburger,American,12.95,782,341,1/6/23,3:35:47 PM
38,101,Hamburger,American,12.95,809,353,1/6/23,5:59:48 PM
39,101,Hamburger,American,12.95,823,360,1/6/23,6:50:38 PM
40,101,Hamburger,American,12.95,828,362,1/6/23,7:13:36 PM
41,101,Hamburger,American,12.95,874,387,1/7/23,1:03:14 PM
42,101,Hamburger,American,12.95,881,388,1/7/23,1:04:56 PM
43,101,Hamburger,American,12.95,916,399,1/7/23,3:47:49 PM
44,101,Hamburger,American,12.95,925,403,1/7/23,4:26:10 PM
45,101,Hamburger,American,12.95,955,419,1/7/23,7:02:31 PM
46,101,Hamburger,American,12.95,961,421,1/7/23,7:21:58 PM
47,101,Hamburger,American,12.95,998,437,1/8/23,12:07:54 PM
48,101,Hamburger,American,12.95,1048,452,1/8/23,1:24:11 PM
49,101,Hamburger,American,12.95,1070,463,1/8/23,2:40:28 PM
50,101,Hamburger,American,12.95,1072,464,1/8/23,2:49:01 PM
51,101,Hamburger,American,12.95,1080,469,1/8/23,3:37:18 PM
52,101,Hamburger,American,12.95,1108,483,1/8/23,5:54:05 PM
53,101,Hamburger,American,12.95,1184,522,1/9/23,2:09:33 PM
54,101,Hamburger,American,12.95,1229,542,1/9/23,6:08:06 PM
55,101,Hamburger,American,12.95,1257,555,1/9/23,8:18:25 PM
56,101,Hamburger,American,12.95,1276,567,1/10/23,12:27:47 PM
57,101,Hamburger,American,12.95,1287,569,1/10/23,12:37:10 PM
58,101,Hamburger,American,12.95,1306,578,1/10/23,1:48:49 PM
59,101,Hamburger,American,12.95,1352,601,1/10/23,6:58:19 PM
60,101,Hamburger,American,12.95,1362,607,1/10/23,7:36:16 PM
61,101,Hamburger,American,12.95,1391,620,1/10/23,8:45:45 PM
62,101,Hamburger,American,12.95,1455,645,1/11/23,2:03:45 PM
63,101,Hamburger,American,12.95,1467,651,1/11/23,2:49:35 PM
64,101,Hamburger,American,12.95,1481,657,1/11/23,4:45:47 PM
65,101,Hamburger,American,12.95,1488,660,1/11/23,5:09:36 PM
66,101,Hamburger,American,12.95,1491,662,1/11/23,5:21:49 PM
67,101,Hamburger,American,12.95,1497,665,1/11/23,5:42:23 PM
68,101,Hamburger,American,12.95,1546,691,1/12/23,12:45:53 PM
69,101,Hamburger,American,12.95,1549,693,1/12/23,1:04:24 PM
70,101,Hamburger,American,12.95,1572,702,1/12/23,2:38:35 PM
71,101,Hamburger,American,12.95,1582,707,1/12/23,3:41:32 PM
72,101,Hamburger,American,12.95,1586,709,1/12/23,3:53:56 PM
73,101,Hamburger,American,12.95,1606,717,1/12/23,5:24:44 PM
74,101,Hamburger,American,12.95,1610,719,1/12/23,5:52:27 PM
75,101,Hamburger,American,12.95,1620,723,1/12/23,6:21:04 PM
76,101,Hamburger,American,12.95,1651,737,1/13/23,11:31:34 AM
77,101,Hamburger,American,12.95,1669,742,1/13/23,12:53:01 PM
